"PETRJ13,CALL,,A,72,ITM,-9.767,3.023,3.023,100,,3.000,,,,3.040,0,09:45:00,17,4.222,22,9.822,,,,10.000,0,0,0,0,,100,0,200,0,1,1"
"PETRV13,PUT,,E,72,OTM,-9.767,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,"
"PETRJ402,CALL,,A,342,ITM,-8.895,2.755,2.753,,,,,,,2.767,-11,13:45:28,14,80.906,8.940,13,105.189,00,5.160,9.971,3,-170,-6,526,10.000,50,0,1,2,3,8,1,2"
"PETRV402,PUT,,E,342,OTM,-8.895,0,,,,,2,,8,4,,0,,,,,,,,0,0,0,,0,,,,,,,"
"Opções PETR4 - CALLs e PUTs - lista, pesquisa e cotações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker          ,Tipo,F.M. ,Mod.,Strike    ,A/I/OTM,Dist. (%) do Strike,Teórico,VI,Qtd. Bid,Vol. Impl. Bid (%),Bid,Ask,Vol. Impl. Ask (%),Qtd. Ask,Último,Var. (%),Data/Hora,VE,Prêmio como % do strike,Prêmio como % da última cotação,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,Prob. ITM (%),IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRJ201,CALL,,E,1.522,ITM,-5.082,1.581,1.573,3,,1.531,1.594,2.156,3,1.603,-25,12:41:23,-10,10.269,5.050,1,"16.030,00",,10.000,0,-90,-6,0,10.000,9,4,"37,7","12,4",1,11
PETRV201,PUT,,E,1.522,OTM,-5.082,0,,,,,1,,100,1,0,09:45:00,,7,3,,,,0,0,0,,0,,133,0,"176,7","42,3",8,6
PETRJ160,CALL,,A,1.547,ITM,-5.002,1.556,1.548,3,,1.506,1.569,2.108,3,1.573,0,09:45:00,-10,9.942,4.969,,,,10.000,0,-90,-6,0,10.000,100,0,"48,3","2,3",2,2
PETRV160,PUT,,E,1.547,OTM,-5.002,0,,,,,1,,100,1,0,09:45:00,,6,3,,,,0,0,0,,0,,100,0,1,0,1,1
PETRJ163,CALL,,E,1.572,ITM,-4.921,1.531,1.523,3,,1.481,1.545,2.089,3,1.611,0,09:45:00,-10,9.628,4.890,,,,10.000,0,-90,-6,0,10.000,100,0,0,"31,3",1,1
PETRV163,PUT,,E,1.572,OTM,-4.921,0,,,,,1,,100,1,0,09:45:00,,6,3,,,,0,0,0,,0,,100,0,1,0,1,1
PETRJ165,CALL,,A,1.597,ITM,-4.840,1.507,1.498,3,,1.456,1.520,2.043,3,1.527,,09:45:00,-10,9.321,4.809,2,"259.860,00",,10.000,0,-90,-6,0,10.000,50,0,"15,8","3,7",2,4
PETRV165,PUT,,E,1.597,OTM,-4.840,0,,,,,1,1.397,100,1,0,09:45:00,,6,3,,,,0,0,0,,0,,100,0,1,0,1,1
PETRJ168,CALL,,E,1.622,ITM,-4.759,1.482,1.473,400,,1.480,1.495,1.998,3,1.493,,09:45:00,15,9.174,4.808,1,"1.493,00",1.754,9.834,40,-328,-23,2.411,10.000,40,"8,4","10,7",8,2,5
PETRV168,PUT,,E,1.622,OTM,-4.759,0,,,,,1,,60,1,0,09:45:00,,6,3,,,,0,0,0,,0,,100,0,3,0,1,1
PETRJ170,CALL,,A,1.647,ITM,-4.679,1.457,1.448,3,,1.406,1.471,1.979,3,1.565,0,09:45:00,-9,8.737,4.649,,,,10.000,0,-100,-7,0,10.000,50,"1,2",4,"4,9",2,4
PETRV170,PUT,,E,1.647,OTM,-4.679,0,,,,,1,1.337,90,1,0,09:45:00,,6,3,,,,0,0,0,,0,,200,0,2,0,2,1
PETRJ173,CALL,,E,1.672,ITM,-4.598,1.432,1.423,,,,,,,1.446,0,09:45:00,23,8.648,4.672,,,,10.000,0,-100,-7,0,,60,0,0,"4,9",3,5
PETRV173,PUT,,E,1.672,OTM,-4.598,0,,,,,1,,70,1,0,09:45:00,,6,3,,,,0,0,0,,0,,150,0,"18,4",0,3,2
PETRJ175,CALL,,A,1.697,ITM,-4.517,1.407,1.398,3,,1.357,1.421,1.891,3,1.429,-733,11:00:12,-9,8.188,4.489,1,"14.290,00",,10.000,0,-100,-7,0,10.000,25,"4,9",4,"1,6",1,4
PETRV175,PUT,,E,1.697,OTM,-4.517,0,,,,,1,,115,1,0,09:45:00,,6,3,,,,0,0,0,,0,,100,0,4,0,1,1
PETRJ178,CALL,,E,1.722,ITM,-4.436,1.382,1.373,3,,1.332,1.397,1.872,3,1.399,0,09:45:00,-8,7.927,4.410,,,,10.000,0,-100,-7,0,10.000,50,"1,5","7,4","44,2",2,4
PETRV178,PUT,,E,1.722,OTM,-4.436,0,,,,,1,1.252,115,1,0,09:45:00,,6,3,,,,0,0,0,,0,,100,0,0,1,1,1
PETRJ180,CALL,,A,1.747,ITM,-4.355,1.357,1.348,3,,1.307,1.372,1.830,3,1.403,0,09:45:00,-8,7.670,4.330,,,,10.000,0,-100,-8,0,10.000,150,0,"67,1",0,3,2
